Timestamp,AvgFPS,StdDevFPS,AvgIntersections,StdDevIntersections,AvgBuildTimeMs,AvgMemoryKB,StdDevMemoryKB
6674.63,7.29166,0.212917,2.96095e+07,94879.5,0.000556164,6794.5,0
6704.65,7.50058,0.220934,2.96433e+07,106915,0.000567111,6794.5,0
6734.76,7.38052,0.221161,2.96228e+07,76497,0.000585135,6794.5,0
6764.85,7.34848,0.198043,2.96027e+07,106896,0.000579638,6794.5,0
6794.86,7.47266,0.244103,2.96412e+07,114955,0.000552679,6794.5,0
6824.9,7.39592,0.201246,2.96098e+07,75357.2,0.000554955,6794.5,0
6854.98,7.32177,0.226921,2.96285e+07,111251,0.000595909,6794.5,0
6884.98,7.47221,0.233057,2.96305e+07,109619,0.000530804,6794.5,0
6915,7.43605,0.241203,2.95559e+07,380089,0.000607175,6794.5,0
6945.03,7.29718,0.182735,2.96609e+07,117497,0.000556621,6794.5,0
6975.16,7.51005,0.238251,2.96099e+07,99934.3,0.000561062,6794.5,0
7005.29,7.37406,0.230248,2.95897e+07,87763.5,0.000564865,6794.5,0
7035.39,7.31529,0.18146,2.96853e+07,108315,0.000570455,6794.5,0
7065.45,7.52246,0.189887,2.95948e+07,85940.1,0.00059823,6794.5,0
7095.56,7.27928,0.221041,2.96102e+07,99870.2,0.000546119,6794.5,0
7125.66,7.4502,0.243892,2.96594e+07,112237,0.000588393,6794.5,0
7155.74,7.4516,0.204518,2.96076e+07,75537.4,0.000608482,6794.5,0
7185.8,7.29346,0.21209,2.96098e+07,127563,0.000580365,6794.5,0
7215.81,7.43904,0.266828,2.96616e+07,120353,0.000569507,6794.5,0
7245.93,7.37766,0.224824,2.96243e+07,97432.7,0.000578378,6794.5,0
7276,7.35508,0.199737,2.96005e+07,120533,0.000571493,6794.5,0
7306.14,7.47333,0.237487,2.9636e+07,110044,0.000544444,6794.5,0
7336.23,7.41706,0.212699,2.96016e+07,80750.3,0.000553812,6794.5,0
7366.33,7.34533,0.188171,2.96281e+07,96039.5,0.000554299,6794.5,0
7396.44,7.48199,0.244948,2.96214e+07,108051,0.000590667,6794.5,0
7426.45,7.40535,0.226972,2.95928e+07,84205.6,0.000557207,6794.5,0
7456.46,7.30014,0.180855,2.9679e+07,92161.1,0.000583562,6794.5,0
7486.55,7.5518,0.239701,2.95901e+07,98846.3,0.00060793,6794.5,0
7516.58,7.36557,0.211183,2.95793e+07,152690,0.000556109,6794.5,0
7546.69,7.38038,0.205157,2.96772e+07,80421.3,0.000588739,6794.5,0
7576.71,7.53308,0.211313,2.958e+07,84607.3,0.000558407,6794.5,0
7606.76,7.29646,0.228275,2.96001e+07,135290,0.000549315,6794.5,0
7636.86,7.47932,0.224549,2.96456e+07,109088,0.000596889,6794.5,0
7666.95,7.4177,0.200782,2.96155e+07,67702,0.000562332,6794.5,0
